eventid	version	event lat	event lon	depth	mag	time	latu	lonu	depu	magu	timeu	lk	nTb	nSb	nT	nS	ave	rms	fitOK	splitOK	near	statrig	active	inact	nsta	percent	prcntOK	mindist	maxdist	distOK	azspan	MOK	nSOK	LOK	Tdif	tpave	pdave	TF	TOK	AZOK	AOK	Ast	alert_time
143	0	36.7344	-121.3529	8.0	4.19	2018-10-05T13:29:37.92	0.184	0.184	5.0	0.5	4.48	0.89	5	3	5	3	0.0648	0.0045	1	1	6	3	6	0	6	50.0	1	9.05	30.93	1	127.28	1	0	1	2.74	-0.46	-2.27	0.0	1	1	0	0	2018-10-05T13:29:44.89
143	1	36.7344	-121.3529	8.0	4.32	2018-10-05T13:29:37.94	0.1283	0.1283	5.0	0.4	2.52	0.91	5	3	6	4	0.0646	0.005	1	1	6	4	6	0	6	66.67	1	9.05	30.93	1	127.28	1	1	1	2.92	-0.47	-2.14	0.0	1	1	1	1	2018-10-05T13:29:45.01
143	2	36.7344	-121.3529	8.0	4.32	2018-10-05T13:29:37.94	0.1283	0.1283	5.0	0.4	2.52	0.91	5	3	6	4	0.0646	0.005	1	1	6	4	6	0	0	66.67	1	9.05	30.93	1	127.28	1	1	1	2.92	-0.47	-2.14	0.0	1	1	1	0	2018-10-05T13:29:45.24
143	3	36.7344	-121.3529	8.0	4.32	2018-10-05T13:29:37.94	0.1283	0.1283	5.0	0.4	2.52	0.91	5	3	6	4	0.0646	0.005	1	1	6	4	6	0	0	66.67	1	9.05	30.93	1	127.28	1	1	1	2.92	-0.47	-2.14	0.0	1	1	1	0	2018-10-05T13:29:45.31
143	4	36.7344	-121.3529	8.0	4.32	2018-10-05T13:29:37.94	0.1283	0.1283	5.0	0.4	2.52	0.91	5	3	6	4	0.0646	0.005	1	1	6	4	6	0	0	66.67	1	9.05	30.93	1	127.28	1	1	1	2.92	-0.47	-2.14	0.0	1	1	1	0	2018-10-05T13:29:45.45
143	5	36.7344	-121.3529	8.0	4.32	2018-10-05T13:29:37.94	0.1283	0.1283	5.0	0.4	2.52	0.91	5	3	6	4	0.0646	0.005	1	1	6	4	6	0	0	66.67	1	9.05	30.93	1	127.28	1	1	1	2.92	-0.47	-2.14	0.0	1	1	1	0	2018-10-05T13:29:45.65
143	6	36.7344	-121.3529	8.0	4.53	2018-10-05T13:29:37.94	0.1283	0.1283	5.0	0.4	2.52	0.91	5	3	6	4	0.0646	0.005	1	1	6	4	6	0	0	66.67	1	9.05	30.93	1	127.28	1	1	1	2.92	-0.45	-2.07	0.0	1	1	1	0	2018-10-05T13:29:45.71
143	7	36.7344	-121.3529	8.0	4.37	2018-10-05T13:29:37.95	0.0728	0.0728	5.0	0.3	1.0	0.95	5	3	9	7	0.1013	0.0173	1	1	7	7	7	0	7	100.0	1	9.05	31.92	1	204.92	1	1	1	2.7	-0.41	-2.19	0.0	1	1	1	0	2018-10-05T13:29:45.79
143	8	36.7344	-121.3529	8.0	4.36	2018-10-05T13:29:37.96	0.0656	0.0656	5.0	0.3	0.84	0.97	5	3	10	8	0.1033	0.0173	1	1	9	8	9	0	9	88.89	1	9.05	35.16	1	204.92	1	1	1	2.42	-0.32	-2.22	0.0	1	1	1	0	2018-10-05T13:29:45.94
143	9	36.7344	-121.3529	8.0	4.3	2018-10-05T13:29:37.97	0.0604	0.0604	5.0	0.3	0.74	0.98	5	3	11	9	0.0981	0.0159	1	1	10	9	10	0	10	90.0	1	9.05	36.63	1	204.92	1	1	1	2.43	-0.34	-2.26	0.0	1	1	1	1	2018-10-05T13:29:46.24
143	10	36.7344	-121.3529	8.0	4.3	2018-10-05T13:29:37.97	0.0604	0.0604	5.0	0.3	0.74	0.98	5	3	11	9	0.0981	0.0159	1	1	10	9	10	0	0	90.0	1	9.05	36.63	1	204.92	1	1	1	2.43	-0.34	-2.26	0.0	1	1	1	0	2018-10-05T13:29:46.40
143	11	36.7344	-121.3529	8.0	4.3	2018-10-05T13:29:37.97	0.0604	0.0604	5.0	0.3	0.74	0.98	5	3	11	9	0.0981	0.0159	1	1	10	9	10	0	0	90.0	1	9.05	36.63	1	204.92	1	1	1	2.43	-0.34	-2.26	0.0	1	1	1	0	2018-10-05T13:29:46.45
143	12	36.7344	-121.3529	8.0	4.31	2018-10-05T13:29:37.97	0.0604	0.0604	5.0	0.3	0.74	0.98	5	3	11	9	0.0981	0.0159	1	1	10	9	10	0	0	90.0	1	9.05	36.63	1	204.92	1	1	1	2.43	-0.34	-2.26	0.0	1	1	1	0	2018-10-05T13:29:46.64
143	13	36.7344	-121.3529	8.0	4.31	2018-10-05T13:29:37.97	0.0604	0.0604	5.0	0.3	0.74	0.98	5	3	11	9	0.0981	0.0159	1	1	10	9	10	0	0	90.0	1	9.05	36.63	1	204.92	1	1	1	2.43	-0.34	-2.26	0.0	1	1	1	0	2018-10-05T13:29:46.66
143	14	36.7344	-121.3529	8.0	4.31	2018-10-05T13:29:37.97	0.0604	0.0604	5.0	0.3	0.74	0.98	5	3	11	9	0.0981	0.0159	1	1	10	9	10	0	0	90.0	1	9.05	36.63	1	204.92	1	1	1	2.43	-0.34	-2.26	0.0	1	1	1	0	2018-10-05T13:29:46.74
143	15	36.7344	-121.3529	8.0	4.31	2018-10-05T13:29:37.97	0.0604	0.0604	5.0	0.3	0.74	0.98	5	3	11	9	0.0981	0.0159	1	1	10	9	10	0	0	90.0	1	9.05	36.63	1	204.92	1	1	1	2.43	-0.34	-2.26	0.0	1	1	1	0	2018-10-05T13:29:46.81
