eventid	version	nT	index	sta	chan	net	loc	lat	lon	U	dist	tt	tterr
143	0	5	1	SAO	HNZ	BK	00	36.764	-121.4472	1	9.0	2.17	-0.0534
143	0	5	2	SAO	HHZ	BK	00	36.764	-121.4472	1	9.0	2.19	-0.0734
143	0	5	3	BSR	HNZ	NC	--	36.6674	-121.5203	1	16.7	3.26	-0.0352
143	0	5	4	PACP	HHZ	BK	00	37.008	-121.287	1	31.0	5.42	0.081
143	0	5	5	PACP	HNZ	BK	00	37.008	-121.287	1	31.0	5.42	0.081
143	1	6	1	SAO	HNZ	BK	00	36.764	-121.4472	1	9.0	2.15	-0.0375
143	1	6	2	SAO	HHZ	BK	00	36.764	-121.4472	1	9.0	2.17	-0.0575
143	1	6	3	BSR	HNZ	NC	--	36.6674	-121.5203	1	16.7	3.24	-0.0192
143	1	6	4	1865	HNZ	NP	--	36.8831	-121.3908	1	16.9	3.33	-0.0795
143	1	6	5	PACP	HNZ	BK	00	37.008	-121.287	1	31.0	5.4	0.0969
143	1	6	6	PACP	HHZ	BK	00	37.008	-121.287	1	31.0	5.4	0.0969
143	7	7	1	SAO	HNZ	BK	00	36.764	-121.4472	1	9.0	2.11	0.0083
143	7	7	2	SAO	HHZ	BK	00	36.764	-121.4472	1	9.0	2.13	-0.0117
143	7	7	3	BJOB	HNZ	NC	--	36.6109	-121.3147	1	14.1	3.11	-0.2749
143	7	7	4	BSR	HNZ	NC	--	36.6674	-121.5203	1	16.7	3.2	0.0266
143	7	7	5	1865	HNZ	NP	--	36.8831	-121.3908	1	16.9	3.29	-0.0337
143	7	7	6	PACP	HNZ	BK	00	37.008	-121.287	1	31.0	5.36	0.1427
143	7	7	7	PACP	HHZ	BK	00	37.008	-121.287	1	31.0	5.36	0.1427
143	7	8	1	SAO	HNZ	BK	00	36.764	-121.4472	1	9.0	2.13	-0.0135
143	7	8	2	SAO	HHZ	BK	00	36.764	-121.4472	1	9.0	2.15	-0.0335
143	7	8	3	BSR	HNZ	NC	--	36.6674	-121.5203	1	16.7	3.22	0.0047
143	7	8	4	1865	HNZ	NP	--	36.8831	-121.3908	1	16.9	3.31	-0.0556
143	7	8	5	HTU	HNZ	NC	--	36.8268	-121.6435	1	27.9	4.84	0.153
143	7	8	6	PACP	HNZ	BK	00	37.008	-121.287	1	31.0	5.38	0.1208
143	7	8	7	PACP	HHZ	BK	00	37.008	-121.287	1	31.0	5.38	0.1208
143	7	8	8	BJOB	HNZ	NC	--	36.6109	-121.3147	1	14.1	3.13	-0.2967
143	7	9	1	SAO	HNZ	BK	00	36.764	-121.4472	1	9.0	2.14	-0.0258
143	7	9	2	SAO	HHZ	BK	00	36.764	-121.4472	1	9.0	2.16	-0.0458
143	7	9	3	BSR	HNZ	NC	--	36.6674	-121.5203	1	16.7	3.23	-0.0075
143	7	9	4	1865	HNZ	NP	--	36.8831	-121.3908	1	16.9	3.32	-0.0678
143	7	9	5	PACP	HNZ	BK	00	37.008	-121.287	1	31.0	5.39	0.1086
143	7	9	6	PACP	HHZ	BK	00	37.008	-121.287	1	31.0	5.39	0.1086
143	7	9	7	HCRB	HNZ	NC	01	36.9553	-121.582	1	31.9	5.55	0.0979
143	7	9	8	BJOB	HNZ	NC	--	36.6109	-121.3147	1	14.1	3.14	-0.309
143	7	9	9	HTU	HNZ	NC	--	36.8268	-121.6435	1	27.9	4.85	0.1408
143	8	10	1	SAO	HNZ	BK	00	36.764	-121.4472	1	9.0	2.13	-0.0121
143	8	10	2	SAO	HHZ	BK	00	36.764	-121.4472	1	9.0	2.15	-0.0321
143	8	10	3	BSR	HNZ	NC	--	36.6674	-121.5203	1	16.7	3.22	0.0061
143	8	10	4	1865	HNZ	NP	--	36.8831	-121.3908	1	16.9	3.31	-0.0542
143	8	10	5	PACP	HNZ	BK	00	37.008	-121.287	1	31.0	5.38	0.1222
143	8	10	6	PACP	HHZ	BK	00	37.008	-121.287	1	31.0	5.38	0.1222
143	8	10	7	HCBB	HNZ	NC	01	36.9309	-121.6619	1	35.1	6.29	-0.1228
143	8	10	8	BJOB	HNZ	NC	--	36.6109	-121.3147	1	14.1	3.13	-0.2953
143	8	10	9	HTU	HNZ	NC	--	36.8268	-121.6435	1	27.9	4.84	0.1544
143	8	10	10	HCRB	HNZ	NC	01	36.9553	-121.582	1	31.9	5.54	0.1116
143	9	11	1	SAO	HNZ	BK	00	36.764	-121.4472	1	9.0	2.12	-0.0075
143	9	11	2	SAO	HHZ	BK	00	36.764	-121.4472	1	9.0	2.14	-0.0275
143	9	11	3	BSR	HNZ	NC	--	36.6674	-121.5203	1	16.7	3.21	0.0108
143	9	11	4	1865	HNZ	NP	--	36.8831	-121.3908	1	16.9	3.3	-0.0495
143	9	11	5	PACP	HNZ	BK	00	37.008	-121.287	1	31.0	5.37	0.1268
143	9	11	6	PACP	HHZ	BK	00	37.008	-121.287	1	31.0	5.37	0.1268
143	9	11	7	BSG	HNZ	NC	01	36.4138	-121.2552	1	36.7	6.46	-0.0463
143	9	11	8	BJOB	HNZ	NC	--	36.6109	-121.3147	1	14.1	3.12	-0.2907
143	9	11	9	HTU	HNZ	NC	--	36.8268	-121.6435	1	27.9	4.83	0.159
143	9	11	10	HCRB	HNZ	NC	01	36.9553	-121.582	1	31.9	5.53	0.1162
143	9	11	11	HCBB	HNZ	NC	01	36.9309	-121.6619	1	35.1	6.28	-0.1182
143	18	12	1	SAO	HNZ	BK	00	36.764	-121.4472	1	9.0	2.11	0.0069
143	18	12	2	SAO	HHZ	BK	00	36.764	-121.4472	1	9.0	2.13	-0.0131
143	18	12	3	BSR	HNZ	NC	--	36.6674	-121.5203	1	16.7	3.2	0.0252
143	18	12	4	1865	HNZ	NP	--	36.8831	-121.3908	1	16.9	3.29	-0.0351
143	18	12	5	PACP	HNZ	BK	00	37.008	-121.287	1	31.0	5.36	0.1413
143	18	12	6	PACP	HHZ	BK	00	37.008	-121.287	1	31.0	5.36	0.1413
143	18	12	7	HAST	HNZ	BK	00	36.3887	-121.5514	1	42.3	7.49	-0.1587
143	18	12	8	BJOB	HNZ	NC	--	36.6109	-121.3147	1	14.1	3.11	-0.2763
143	18	12	9	HTU	HNZ	NC	--	36.8268	-121.6435	1	27.9	4.82	0.1735
143	18	12	10	HCRB	HNZ	NC	01	36.9553	-121.582	1	31.9	5.52	0.1306
143	18	12	11	HCBB	HNZ	NC	01	36.9309	-121.6619	1	35.1	6.27	-0.1037
143	18	12	12	BSG	HNZ	NC	01	36.4138	-121.2552	1	36.7	6.45	-0.0319
143	18	13	1	SAO	HNZ	BK	00	36.764	-121.4472	1	9.0	2.1	0.0192
143	18	13	2	SAO	HHZ	BK	00	36.764	-121.4472	1	9.0	2.12	-0.0008
143	18	13	3	BSR	HNZ	NC	--	36.6674	-121.5203	1	16.7	3.19	0.0374
143	18	13	4	1865	HNZ	NP	--	36.8831	-121.3908	1	16.9	3.28	-0.0229
143	18	13	5	PACP	HNZ	BK	00	37.008	-121.287	1	31.0	5.35	0.1535
143	18	13	6	PACP	HHZ	BK	00	37.008	-121.287	1	31.0	5.35	0.1535
143	18	13	7	HAST	HHZ	BK	00	36.3887	-121.5514	1	42.3	7.48	-0.1465
143	18	13	8	BJOB	HNZ	NC	--	36.6109	-121.3147	1	14.1	3.1	-0.2641
143	18	13	9	HTU	HNZ	NC	--	36.8268	-121.6435	1	27.9	4.81	0.1857
143	18	13	10	HCRB	HNZ	NC	01	36.9553	-121.582	1	31.9	5.51	0.1428
143	18	13	11	HCBB	HNZ	NC	01	36.9309	-121.6619	1	35.1	6.26	-0.0915
143	18	13	12	BSG	HNZ	NC	01	36.4138	-121.2552	1	36.7	6.44	-0.0197
143	18	13	13	HAST	HNZ	BK	00	36.3887	-121.5514	1	42.3	7.48	-0.1465
