eventid	version	event lat	event lon	depth	sta	chan	net	loc	lat	lon	date	tt	dist	ttok	dok	nttok	ndok	ttmin	ttmax	relo	nlat	nlon	ndep	ntime	nrms	nave	fitok	dmin	mdok	percent	pok
143	1	36.7344	-121.3529	8.0	1865	HNZ	NP	--	36.8831	-121.3908	2018-10-05T13:29:41.270	3.35	16.88	1	1	1	1	-7.89	4.39	1	36.7344	-121.3529	8.0	2018-10-05T13:29:37.94	0.005	0.0646	1	9.03	1	66.7	1
143	7	36.7344	-121.3529	8.0	BJOB	HNZ	NC	--	36.6109	-121.3147	2018-10-05T13:29:41.090	3.15	14.14	1	1	1	1	-8.23	3.68	1	36.7344	-121.3529	8.0	2018-10-05T13:29:37.98	0.0169	0.0915	1	9.03	1	83.3	1
143	7	36.7344	-121.3529	8.0	HTU	HNZ	NC	--	36.8268	-121.6435	2018-10-05T13:29:42.800	4.82	27.85	1	1	0	0	-6.52	7.24	1	36.7344	-121.3529	8.0	2018-10-05T13:29:37.96	0.0181	0.0998	1	9.03	1	100.0	1
143	7	36.7344	-121.3529	8.0	HCRB	HNZ	NC	01	36.9553	-121.582	2018-10-05T13:29:43.500	5.54	31.93	1	1	0	0	-6.01	8.3	1	36.7344	-121.3529	8.0	2018-10-05T13:29:37.95	0.0173	0.1013	1	9.03	1	100.0	1
143	8	36.7344	-121.3529	8.0	HCBB	HNZ	NC	01	36.9309	-121.6619	2018-10-05T13:29:44.250	6.3	35.13	1	1	0	0	-5.61	9.13	1	36.7344	-121.3529	8.0	2018-10-05T13:29:37.96	0.0173	0.1033	1	9.03	1	88.9	1
143	9	36.7344	-121.3529	8.0	BSG	HNZ	NC	01	36.4138	-121.2552	2018-10-05T13:29:44.430	6.47	36.7	1	1	0	0	-5.41	9.54	1	36.7344	-121.3529	8.0	2018-10-05T13:29:37.97	0.0159	0.0981	1	9.03	1	90.0	1
143	18	36.7344	-121.3529	8.0	HAST	HNZ	BK	00	36.3887	-121.5514	2018-10-05T13:29:45.468	7.5	42.33	1	1	0	0	-4.71	11.01	1	36.7344	-121.3529	8.0	2018-10-05T13:29:37.98	0.0169	0.1031	1	9.03	1	83.3	1
143	18	36.7344	-121.3529	8.0	HAST	HHZ	BK	00	36.3887	-121.5514	2018-10-05T13:29:45.468	7.49	42.33	1	1	0	0	-4.71	11.01	1	36.7344	-121.3529	8.0	2018-10-05T13:29:37.99	0.0174	0.1065	1	9.03	1	83.3	1
143	24	36.7344	-121.3529	8.0	HLP	HNZ	NC	--	37.0413	-121.6319	2018-10-05T13:29:44.990	7.0	42.2	1	1	0	0	-4.73	10.97	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	91.7	1
143	31	36.7344	-121.3529	8.0	BPRB	HNZ	NC	01	36.4072	-121.7307	2018-10-05T13:29:46.680	8.69	49.62	1	1	0	0	-3.8	12.9	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	85.7	1
143	38	36.7344	-121.3529	8.0	JLAB	HNZ	NC	--	37.1543	-121.7347	2018-10-05T13:29:48.200	10.21	57.72	1	1	0	0	-2.78	15.01	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	81.2	1
143	39	36.7344	-121.3529	8.0	BBGB	HNZ	NC	--	36.5785	-121.0396	2018-10-05T13:29:44.530	6.54	32.88	1	1	0	0	-5.89	8.55	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	87.5	1
143	40	36.7344	-121.3529	8.0	MHC	HHZ	BK	00	37.3416	-121.6426	2018-10-05T13:29:50.228	12.24	72.25	1	1	0	0	-0.97	18.79	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	75.0	1
143	41	36.7344	-121.3529	8.0	JAR	HNZ	NC	--	36.9872	-122.0608	2018-10-05T13:29:49.090	11.1	68.97	1	1	0	0	-1.38	17.93	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	80.0	1
143	42	36.7344	-121.3529	8.0	BBGB	HHZ	NC	--	36.5785	-121.0396	2018-10-05T13:29:44.490	6.5	32.88	1	1	0	0	-5.89	8.55	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	80.0	1
143	44	36.7344	-121.3529	8.0	JELB	HNZ	NC	--	36.9274	-121.8276	2018-10-05T13:29:46.125	8.13	47.39	1	1	0	0	-4.08	12.32	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	85.0	1
143	47	36.7344	-121.3529	8.0	CAO	HNZ	NC	01	37.3485	-121.5347	2018-10-05T13:29:49.960	11.97	70.17	1	1	0	0	-1.23	18.24	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	90.0	1
143	48	36.7344	-121.3529	8.0	SCCB	HNZ	BK	00	37.2874	-121.8642	2018-10-05T13:29:51.268	13.28	76.44	1	1	0	0	-0.44	19.87	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	76.0	1
143	55	36.7344	-121.3529	8.0	PCC	HNZ	NC	--	36.0898	-121.1636	2018-10-05T13:29:50.990	13.0	73.64	1	1	0	0	-0.79	19.15	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	80.0	1
143	56	36.7344	-121.3529	8.0	HMOB	HNZ	NC	--	36.5993	-121.9181	2018-10-05T13:29:47.180	9.19	52.6	1	1	0	0	-3.42	13.68	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	84.0	1
143	56	36.7344	-121.3529	8.0	HULI	HNZ	BK	00	36.0213	-121.2355	2018-10-05T13:29:51.813	13.82	79.98	1	1	0	0	-0.0	20.8	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	81.5	1
143	58	36.7344	-121.3529	8.0	HULI	HHZ	BK	00	36.0213	-121.2355	2018-10-05T13:29:51.813	13.82	79.98	1	1	0	0	-0.0	20.8	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	81.5	1
143	66	36.7344	-121.3529	8.0	CMM	HNZ	NC	--	37.4557	-121.4947	2018-10-05T13:29:52.210	14.22	81.19	1	1	0	0	0.15	21.11	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	82.1	1
143	67	36.7344	-121.3529	8.0	MTOS	HHZ	BK	00	37.5049	-121.3278	2018-10-05T13:29:52.813	14.82	85.71	1	1	0	0	0.71	22.28	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	80.0	1
143	67	36.7344	-121.3529	8.0	MTOS	HNZ	BK	00	37.5049	-121.3278	2018-10-05T13:29:53.123	15.13	85.71	1	1	0	0	0.71	22.28	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	80.0	1
143	78	36.7344	-121.3529	8.0	CML	HNZ	NC	01	37.4776	-121.653	2018-10-05T13:29:53.040	15.05	86.83	1	1	0	0	0.85	22.57	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	80.6	1
143	78	36.7344	-121.3529	8.0	PSAB	HNZ	NC	01	36.0249	-120.8893	2018-10-05T13:29:53.320	15.33	89.14	1	1	0	0	1.14	23.18	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	78.8	1
143	82	36.7344	-121.3529	8.0	JPSB	HNZ	NC	--	37.1986	-122.3467	2018-10-05T13:29:54.590	16.6	102.28	1	1	0	0	2.78	26.59	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	67.5	1
143	84	36.7344	-121.3529	8.0	JRSC	HHZ	BK	00	37.4037	-122.2387	2018-10-05T13:29:55.438	17.45	108.24	1	1	0	0	3.53	28.14	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	60.9	1
143	89	36.7344	-121.3529	8.0	CMLP	HNZ	NC	--	37.4491	-121.8341	2018-10-05T13:29:53.540	15.55	90.21	1	1	0	0	1.28	23.46	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	63.0	1
143	89	36.7344	-121.3529	8.0	JSJ	HNZ	NC	--	37.3338	-122.0923	2018-10-05T13:29:53.970	15.98	93.55	1	1	0	0	1.69	24.32	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	65.2	1
143	93	36.7344	-121.3529	8.0	WENL	HNZ	BK	00	37.6221	-121.757	2018-10-05T13:29:56.118	18.13	105.01	1	1	0	0	3.13	27.3	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	67.4	1
143	93	36.7344	-121.3529	8.0	WENL	HHZ	BK	00	37.6221	-121.757	2018-10-05T13:29:56.128	18.14	105.01	1	1	0	0	3.13	27.3	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	67.4	1
143	98	36.7344	-121.3529	8.0	CMW	HHZ	NC	--	37.5405	-121.8873	2018-10-05T13:29:54.975	16.98	101.39	1	1	0	0	2.67	26.36	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	69.6	1
143	101	36.7344	-121.3529	8.0	PMPB	HHZ	NC	--	36.2159	-120.8013	2018-10-05T13:29:51.580	13.59	75.86	1	1	0	0	-0.52	19.72	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	71.7	1
143	102	36.7344	-121.3529	8.0	PMPB	HNZ	NC	--	36.2159	-120.8013	2018-10-05T13:29:51.590	13.6	75.86	1	1	0	0	-0.52	19.72	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	71.7	1
143	110	36.7344	-121.3529	8.0	1745	HNZ	NP	00	37.4561	-122.1694	2018-10-05T13:29:56.140	18.15	108.1	1	1	0	0	3.51	28.11	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	73.9	1
143	112	36.7344	-121.3529	8.0	PHSB	HNZ	NC	--	35.824	-121.0539	2018-10-05T13:29:55.850	17.86	104.71	1	1	0	0	3.09	27.23	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	76.1	1
143	119	36.7344	-121.3529	8.0	CLCB	HNZ	NC	--	37.7379	-122.0649	2018-10-05T13:29:59.650	21.66	128.16	1	1	0	0	6.02	33.32	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	66.7	1
143	119	36.7344	-121.3529	8.0	JSP	HNZ	NC	--	37.5864	-122.5022	2018-10-05T13:30:00.810	22.82	139.1	1	1	0	0	7.39	36.17	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	60.7	1
143	120	36.7344	-121.3529	8.0	CNI	HNZ	NC	--	37.6079	-121.9646	2018-10-05T13:29:57.190	19.2	111.23	1	1	0	0	3.9	28.92	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	62.3	1
143	122	36.7344	-121.3529	8.0	CMB	HHZ	BK	00	38.0346	-120.3865	2018-10-05T13:30:03.638	25.65	167.91	1	1	0	0	10.99	43.66	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	46.4	1
143	130	36.7344	-121.3529	8.0	TCHL	HNZ	BK	00	35.6881	-120.4009	2018-10-05T13:30:02.545	24.55	144.32	1	1	0	0	8.04	37.52	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	47.6	1
143	131	36.7344	-121.3529	8.0	TCAS	HNZ	BK	00	35.6095	-120.5601	2018-10-05T13:30:02.520	24.53	143.9	1	1	0	0	7.99	37.41	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	48.8	1
143	132	36.7344	-121.3529	8.0	VOG	HNZ	CI	--	36.321	-119.3823	2018-10-05T13:30:08.438	30.45	181.97	1	1	0	0	12.75	47.31	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	45.2	1
143	132	36.7344	-121.3529	8.0	VOG	HHZ	CI	--	36.321	-119.3823	2018-10-05T13:30:08.448	30.46	181.97	1	1	0	0	12.75	47.31	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	45.2	1
143	132	36.7344	-121.3529	8.0	KCC	HHZ	BK	00	37.3236	-119.3187	2018-10-05T13:30:08.628	30.64	192.09	1	1	0	0	14.01	49.94	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	43.9	1
143	138	36.7344	-121.3529	8.0	TRAM	HNZ	BK	00	35.6769	-120.2709	2018-10-05T13:30:03.930	25.94	152.48	1	1	0	0	9.06	39.64	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	44.9	1
