eventid	version	sta	net	lat	lon	cluster	dist	tt	time	time check	active	trig	clu	ctrig
143	0	1865	NP	36.8831	-121.3908	-	16.88	2.8	2018-10-05T13:29:42	21.0	1	0	0	0
143	0	PACP	BK	37.008	-121.287	-	30.99	5.2	2018-10-05T13:29:44	21.0	1	1	0	0
143	0	SAO	BK	36.764	-121.4472	-	9.03	1.5	2018-10-05T13:29:44	25.0	1	1	0	0
143	0	BSR	NC	36.6674	-121.5203	-	16.68	2.8	2018-10-05T13:29:43	22.0	1	1	0	0
143	0	HTU	NC	36.8268	-121.6435	-	27.85	4.6	2018-10-05T13:29:43	20.0	1	0	0	0
143	0	BJOB	NC	36.6109	-121.3147	-	14.14	2.4	2018-10-05T13:29:35	15.0	1	0	0	0
143	1	1865	NP	36.8831	-121.3908	-	16.88	2.8	2018-10-05T13:29:42	21.0	1	1	0	0
143	1	PACP	BK	37.008	-121.287	-	30.99	5.2	2018-10-05T13:29:44	21.0	1	1	0	0
143	1	SAO	BK	36.764	-121.4472	-	9.03	1.5	2018-10-05T13:29:44	25.0	1	1	0	0
143	1	BSR	NC	36.6674	-121.5203	-	16.68	2.8	2018-10-05T13:29:43	22.0	1	1	0	0
143	1	HTU	NC	36.8268	-121.6435	-	27.85	4.6	2018-10-05T13:29:43	20.0	1	0	0	0
143	1	BJOB	NC	36.6109	-121.3147	-	14.14	2.4	2018-10-05T13:29:35	15.0	1	0	0	0
143	7	HCRB	NC	36.9553	-121.582	-	31.93	5.3	2018-10-05T13:29:44	21.0	1	1	0	0
143	7	1865	NP	36.8831	-121.3908	-	16.88	2.8	2018-10-05T13:29:43	22.0	1	1	0	0
143	7	PACP	BK	37.008	-121.287	-	30.99	5.2	2018-10-05T13:29:45	22.0	1	1	0	0
143	7	SAO	BK	36.764	-121.4472	-	9.03	1.5	2018-10-05T13:29:45	26.0	1	1	0	0
143	7	BSR	NC	36.6674	-121.5203	-	16.68	2.8	2018-10-05T13:29:44	23.0	1	1	0	0
143	7	HTU	NC	36.8268	-121.6435	-	27.85	4.6	2018-10-05T13:29:44	21.0	1	1	0	0
143	7	BJOB	NC	36.6109	-121.3147	-	14.14	2.4	2018-10-05T13:29:43	22.0	1	1	0	0
143	8	HCRB	NC	36.9553	-121.582	-	31.93	5.3	2018-10-05T13:29:44	21.0	1	1	0	0
143	8	1865	NP	36.8831	-121.3908	-	16.88	2.8	2018-10-05T13:29:43	22.0	1	1	0	0
143	8	BBGB	NC	36.5785	-121.0396	-	32.88	5.5	2018-10-05T13:29:42	19.0	1	0	0	0
143	8	HCBB	NC	36.9309	-121.6619	-	35.13	5.9	2018-10-05T13:29:44	20.0	1	1	0	0
143	8	PACP	BK	37.008	-121.287	-	30.99	5.2	2018-10-05T13:29:45	22.0	1	1	0	0
143	8	SAO	BK	36.764	-121.4472	-	9.03	1.5	2018-10-05T13:29:45	25.0	1	1	0	0
143	8	BSR	NC	36.6674	-121.5203	-	16.68	2.8	2018-10-05T13:29:44	23.0	1	1	0	0
143	8	HTU	NC	36.8268	-121.6435	-	27.85	4.6	2018-10-05T13:29:44	21.0	1	1	0	0
143	8	BJOB	NC	36.6109	-121.3147	-	14.14	2.4	2018-10-05T13:29:43	22.0	1	1	0	0
143	9	HCRB	NC	36.9553	-121.582	-	31.93	5.3	2018-10-05T13:29:45	22.0	1	1	0	0
143	9	1865	NP	36.8831	-121.3908	-	16.88	2.8	2018-10-05T13:29:43	22.0	1	1	0	0
143	9	BBGB	NC	36.5785	-121.0396	-	32.88	5.5	2018-10-05T13:29:44	21.0	1	0	0	0
143	9	BSG	NC	36.4138	-121.2552	-	36.7	6.1	2018-10-05T13:29:45	21.0	1	1	0	0
143	9	HCBB	NC	36.9309	-121.6619	-	35.13	5.9	2018-10-05T13:29:45	21.0	1	1	0	0
143	9	PACP	BK	37.008	-121.287	-	30.99	5.2	2018-10-05T13:29:45	22.0	1	1	0	0
143	9	SAO	BK	36.764	-121.4472	-	9.03	1.5	2018-10-05T13:29:45	25.0	1	1	0	0
143	9	BSR	NC	36.6674	-121.5203	-	16.68	2.8	2018-10-05T13:29:44	23.0	1	1	0	0
143	9	HTU	NC	36.8268	-121.6435	-	27.85	4.6	2018-10-05T13:29:44	21.0	1	1	0	0
143	9	BJOB	NC	36.6109	-121.3147	-	14.14	2.4	2018-10-05T13:29:43	22.0	1	1	0	0
143	18	HCRB	NC	36.9553	-121.582	-	31.93	5.3	2018-10-05T13:29:46	23.0	1	1	0	0
143	18	1865	NP	36.8831	-121.3908	-	16.88	2.8	2018-10-05T13:29:44	23.0	1	1	0	0
