eventid	version	event lat	event lon	time	mindist	maxdist	percent	near sta cnt	sta trig cnt	active	inactive	nsta
143	0	36.7344	-121.3529	2018-10-05T13:29:37.920	9.03	30.99	50.0	6	3	6	0	6
143	1	36.7344	-121.3529	2018-10-05T13:29:37.936	9.03	30.99	66.67	6	4	6	0	6
143	7	36.7344	-121.3529	2018-10-05T13:29:37.948	9.03	31.93	100.0	7	7	7	0	7
143	8	36.7344	-121.3529	2018-10-05T13:29:37.961	9.03	35.13	88.89	9	8	9	0	9
143	9	36.7344	-121.3529	2018-10-05T13:29:37.966	9.03	36.7	90.0	10	9	10	0	10
143	18	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	42.33	83.33	12	10	12	0	12
143	24	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	42.33	91.67	12	11	12	0	12
143	31	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	49.62	85.71	14	12	14	0	14
143	38	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	57.72	81.25	16	13	16	0	16
143	39	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	57.72	87.5	16	14	16	0	16
143	40	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	72.25	75.0	20	15	20	0	20
143	41	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	72.25	80.0	20	16	20	0	20
143	42	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	72.25	80.0	20	16	20	0	20
143	44	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	72.25	85.0	20	17	20	0	20
143	47	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	72.25	90.0	20	18	20	0	20
143	48	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	76.44	76.0	25	19	25	0	25
143	55	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	76.44	80.0	25	20	25	0	25
143	56	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	79.98	81.48	27	22	27	0	27
143	58	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	79.98	81.48	27	22	27	0	27
143	66	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	81.19	82.14	28	23	28	0	28
143	67	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	85.71	80.0	30	24	30	0	30
143	78	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	89.14	78.79	33	26	33	0	33
143	82	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	102.28	67.5	40	27	40	0	40
143	84	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	108.24	60.87	46	28	46	0	46
143	89	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	108.24	65.22	46	30	46	0	46
143	93	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	108.24	67.39	46	31	46	0	46
143	98	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	108.24	69.57	46	32	46	0	46
143	101	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	108.24	71.74	46	33	46	0	46
143	102	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	108.24	71.74	46	33	46	0	46
143	110	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	108.24	73.91	46	34	46	0	46
143	112	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	108.24	76.09	46	35	46	0	46
143	119	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	139.1	60.66	61	37	61	1	62
143	120	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	139.1	62.3	61	38	61	1	62
143	122	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	167.91	46.43	84	39	84	3	87
143	130	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	167.91	47.62	84	40	84	3	87
143	131	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	167.91	48.81	84	41	84	3	87
143	132	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	192.09	43.88	98	43	98	4	102
143	138	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	192.09	44.9	98	44	98	4	102
143	141	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	192.09	45.92	98	45	98	4	102
143	144	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	192.09	45.92	98	45	98	4	102
143	146	36.7344	-121.3529	2018-10-05T13:29:37.993	9.03	224.79	40.71	113	46	113	6	119
