eventid	version	s	lat0	lon0	dep0	time0	lat	lon	depth	time	ddist	avefit	rmsfit	nT	nS
900	0	2	32.4195	-115.305	8.0	2018-11-09T05:57:08.05	32.3116	-115.3476	8.0	2018-11-09T05:57:05.50	12.6	0.0629	0.0065	5	3
900	2	3	32.3116	-115.3476	8.0	2018-11-09T05:57:05.50	32.3475	-115.2837	8.0	2018-11-09T05:57:06.26	7.2	0.1412	0.0298	6	4
900	5	3	32.3475	-115.2837	8.0	2018-11-09T05:57:06.26	32.3655	-115.2624	8.0	2018-11-09T05:57:06.39	2.8	0.2012	0.0439	7	5
900	6	3	32.3655	-115.2624	8.0	2018-11-09T05:57:06.39	32.3835	-115.2624	8.0	2018-11-09T05:57:06.50	2.0	0.1915	0.0499	8	6
900	9	3	32.3835	-115.2624	8.0	2018-11-09T05:57:06.50	32.3835	-115.2411	8.0	2018-11-09T05:57:06.57	2.0	0.206	0.0572	9	7
900	9	3	32.3835	-115.2411	8.0	2018-11-09T05:57:06.57	32.3835	-115.2411	8.0	2018-11-09T05:57:06.60	0.0	0.2117	0.0613	10	7
900	10	3	32.3835	-115.2411	8.0	2018-11-09T05:57:06.60	32.3835	-115.2411	8.0	2018-11-09T05:57:06.61	0.0	0.199	0.0565	11	8
900	14	3	32.3835	-115.2411	8.0	2018-11-09T05:57:06.61	32.3835	-115.2411	8.0	2018-11-09T05:57:06.60	0.0	0.1929	0.0527	12	8
900	14	3	32.3835	-115.2411	8.0	2018-11-09T05:57:06.60	32.3835	-115.2411	8.0	2018-11-09T05:57:06.60	0.0	0.1822	0.049	13	9
900	16	3	32.3835	-115.2411	8.0	2018-11-09T05:57:06.60	32.3835	-115.2411	8.0	2018-11-09T05:57:06.61	0.0	0.1704	0.0455	14	9
900	21	3	32.3835	-115.2411	8.0	2018-11-09T05:57:06.61	32.3835	-115.2411	8.0	2018-11-09T05:57:06.58	0.0	0.186	0.0495	15	10
900	21	3	32.3835	-115.2411	8.0	2018-11-09T05:57:06.58	32.3835	-115.2411	8.0	2018-11-09T05:57:06.57	0.0	0.1845	0.0476	16	10
