eventid	version	event lat	event lon	depth	mag	time	latu	lonu	depu	magu	timeu	lk	nTb	nSb	nT	nS	ave	rms	fitOK	splitOK	near	statrig	active	inact	nsta	percent	prcntOK	mindist	maxdist	distOK	azspan	MOK	nSOK	LOK	Tdif	tpave	pdave	TF	TOK	AZOK	AOK	Ast	alert_time
900	0	32.3116	-115.3476	8.0	3.98	2018-11-09T05:57:05.50	0.184	0.184	5.0	0.5	4.48	0.89	5	3	5	3	0.0629	0.0065	1	1	5	3	5	0	5	60.0	1	12.62	42.32	1	90.89	1	0	1	2.17	-0.33	-2.48	0.0	1	1	0	0	2018-11-09T05:57:15.00
900	1	32.3116	-115.3476	8.0	4.09	2018-11-09T05:57:05.50	0.184	0.184	5.0	0.5	4.48	0.89	5	3	5	3	0.0629	0.0065	1	1	5	3	5	0	0	60.0	1	12.62	42.32	1	90.89	1	0	1	2.29	-0.33	-2.35	0.0	1	1	0	0	2018-11-09T05:57:15.42
900	2	32.3475	-115.2837	8.0	3.92	2018-11-09T05:57:06.26	0.1283	0.1283	5.0	0.4	2.52	0.91	5	3	6	4	0.1412	0.0298	1	1	5	4	5	0	5	80.0	1	8.23	40.73	1	110.99	1	1	1	2.29	-0.33	-2.35	0.0	1	1	1	1	2018-11-09T05:57:15.43
900	3	32.3475	-115.2837	8.0	3.92	2018-11-09T05:57:06.26	0.1283	0.1283	5.0	0.4	2.52	0.91	5	3	6	4	0.1412	0.0298	1	1	5	4	5	0	0	80.0	1	8.23	40.73	1	110.99	1	1	1	2.26	-0.31	-2.35	0.0	1	1	1	0	2018-11-09T05:57:15.72
900	4	32.3475	-115.2837	8.0	3.92	2018-11-09T05:57:06.26	0.1283	0.1283	5.0	0.4	2.52	0.91	5	3	6	4	0.1412	0.0298	1	1	5	4	5	0	0	80.0	1	8.23	40.73	1	110.99	1	1	1	2.26	-0.31	-2.35	0.0	1	1	1	0	2018-11-09T05:57:15.72
900	5	32.3655	-115.2624	8.0	3.8	2018-11-09T05:57:06.39	0.1	0.1	5.0	0.3	1.68	0.93	5	3	7	5	0.2012	0.0439	1	1	7	5	7	0	7	71.43	1	7.2	48.93	1	132.88	1	1	1	2.27	-0.34	-2.41	0.0	1	1	1	0	2018-11-09T05:57:16.16
900	6	32.3835	-115.2624	8.0	3.71	2018-11-09T05:57:06.50	0.0834	0.0834	5.0	0.3	1.24	0.94	5	3	8	6	0.1915	0.0499	1	1	10	6	10	0	10	60.0	1	5.66	54.79	1	145.33	1	1	1	2.27	-0.34	-2.41	0.0	1	1	1	1	2018-11-09T05:57:16.43
900	7	32.3835	-115.2624	8.0	3.71	2018-11-09T05:57:06.50	0.0834	0.0834	5.0	0.3	1.24	0.94	5	3	8	6	0.1915	0.0499	1	1	10	6	10	0	0	60.0	1	5.66	54.79	1	145.33	1	1	1	2.24	-0.35	-2.47	0.0	1	1	1	0	2018-11-09T05:57:16.52
900	8	32.3835	-115.2624	8.0	3.71	2018-11-09T05:57:06.50	0.0834	0.0834	5.0	0.3	1.24	0.94	5	3	8	6	0.1915	0.0499	1	1	10	6	10	0	0	60.0	1	5.66	54.79	1	145.33	1	1	1	2.23	-0.35	-2.47	0.0	1	1	1	0	2018-11-09T05:57:16.54
900	9	32.3835	-115.2411	8.0	3.75	2018-11-09T05:57:06.60	0.0728	0.0728	5.0	0.3	1.0	0.95	5	3	10	7	0.2117	0.0613	1	1	10	7	10	0	10	70.0	1	7.22	54.35	1	176.25	1	1	1	2.23	-0.35	-2.47	0.0	1	1	1	0	2018-11-09T05:57:16.62
