eventid	version	update	order	sta	chan	net	loc	lat	lon	trigger time	rsmp	tsmp	log taup	taup snr	dsmp	log pd	pd snr	assoc	tpmag	utpm	pdmag	updm	uch	ukm	upd	ups	utp	uts	tel	tsec	distkm	azimuth	TF	tterr	azerror	incid	plen	sps
900	0	5	1	CPX	HHZ	BC	--	32.4195	-115.305	2018-11-09T05:57:08.045	321	51	-0.2051785	7070.467	207	-2.049855	64028.88	MULTISTA	3.855	1	4.39	1	1	1	1	1	1	1	0	0.0	12.6	18.5	0	0.075	-1.0	0.0	143	100.0
900	0	2	2	CPX	HNZ	BC	--	32.4195	-115.305	2018-11-09T05:57:08.095	58	51	-0.3216549	1715.958	11	-2.546629	143.3636	MULTISTA	3.08	1	3.778	1	1	1	1	1	1	1	0	0.0	12.6	18.5	0	0.025	-1.0	0.0	148	100.0
900	0	1	4	GUVIX	HHZ	BC	--	32.3029	-115.076	2018-11-09T05:57:10.095	167	72	-0.4185556	155448.0	12	-2.64287	289193.1	MULTISTA	2.434	1	4.081	1	1	1	1	1	1	1	0	0.0	25.5	92.08	0	0.029	-1.0	0.0	162	100.0
900	0	2	3	GUVIX	HNZ	BC	--	32.3029	-115.076	2018-11-09T05:57:10.095	108	72	-0.4099746	120421.7	12	-2.665545	422815.2	MULTISTA	2.492	1	4.053	1	1	1	1	1	1	1	0	0.0	25.5	92.08	0	0.029	-1.0	0.0	151	100.0
900	0	2	5	5054	HNZ	NP	10	32.6932	-115.3382	2018-11-09T05:57:13.010	98	92	-0.3176389	968.165	79	-3.293141	7018.732	MULTISTA	3.106	1	3.586	1	1	1	1	1	1	1	0	0.0	42.4	1.19	0	-0.157	-1.0	0.0	100	100.0
900	1	5	1	CPX	HHZ	BC	--	32.4195	-115.305	2018-11-09T05:57:08.045	321	51	-0.2051785	7070.467	207	-2.049855	64028.88	MULTISTA	3.855	1	4.39	1	1	1	1	1	1	1	0	0.0	12.6	18.5	0	0.075	-1.0	0.0	143	100.0
900	1	4	2	CPX	HNZ	BC	--	32.4195	-115.305	2018-11-09T05:57:08.095	401	60	-0.3147562	6521.37	216	-2.076659	13571.28	MULTISTA	3.126	1	4.357	1	1	1	1	1	1	1	0	0.0	12.6	18.5	0	0.025	-1.0	0.0	148	100.0
900	1	1	4	GUVIX	HHZ	BC	--	32.3029	-115.076	2018-11-09T05:57:10.095	167	72	-0.4185556	155448.0	12	-2.64287	289193.1	MULTISTA	2.434	1	4.081	1	1	1	1	1	1	1	0	0.0	25.5	92.08	0	0.029	-1.0	0.0	162	100.0
900	1	2	3	GUVIX	HNZ	BC	--	32.3029	-115.076	2018-11-09T05:57:10.095	108	72	-0.4099746	120421.7	12	-2.665545	422815.2	MULTISTA	2.492	1	4.053	1	1	1	1	1	1	1	0	0.0	25.5	92.08	0	0.029	-1.0	0.0	151	100.0
900	1	2	5	5054	HNZ	NP	10	32.6932	-115.3382	2018-11-09T05:57:13.010	98	92	-0.3176389	968.165	79	-3.293141	7018.732	MULTISTA	3.106	1	3.586	1	1	1	1	1	1	1	0	0.0	42.4	1.19	0	-0.157	-1.0	0.0	100	100.0
900	2	5	1	CPX	HHZ	BC	--	32.4195	-115.305	2018-11-09T05:57:08.045	321	51	-0.2051785	7070.467	207	-2.049855	64028.88	MULTISTA	3.855	1	4.133	1	1	1	1	1	1	1	0	0.0	8.2	345.9	0	0.234	-1.0	0.0	143	100.0
900	2	4	2	CPX	HNZ	BC	--	32.4195	-115.305	2018-11-09T05:57:08.095	401	60	-0.3147562	6521.37	216	-2.076659	13571.28	MULTISTA	3.126	1	4.1	1	1	1	1	1	1	1	0	0.0	8.2	345.9	0	0.184	-1.0	0.0	148	100.0
