eventid	version	nT	index	sta	chan	net	loc	lat	lon	U	dist	tt	tterr
900	0	5	1	CPX	HHZ	BC	--	32.4195	-115.305	1	12.6	2.54	0.0746
900	0	5	2	CPX	HNZ	BC	--	32.4195	-115.305	1	12.6	2.59	0.0246
900	0	5	3	GUVIX	HHZ	BC	--	32.3029	-115.076	1	25.5	4.59	0.0291
900	0	5	4	GUVIX	HNZ	BC	--	32.3029	-115.076	1	25.5	4.59	0.0291
900	0	5	5	5054	HNZ	NP	10	32.6932	-115.3382	1	42.4	7.51	-0.1573
900	2	6	1	CPX	HHZ	BC	--	32.4195	-115.305	1	8.2	1.78	0.2338
900	2	6	2	CPX	HNZ	BC	--	32.4195	-115.305	1	8.2	1.83	0.1838
900	2	6	3	GUVIX	HNZ	BC	--	32.3029	-115.076	1	20.1	3.83	-0.0699
900	2	6	4	GUVIX	HHZ	BC	--	32.3029	-115.076	1	20.1	3.83	-0.0699
900	2	6	5	5054	HNZ	NP	10	32.6932	-115.3382	1	38.8	6.75	0.0062
900	2	6	6	5053	HNZ	NP	10	32.6695	-115.4925	1	40.8	7.37	-0.284
900	5	7	1	CPX	HHZ	BC	--	32.4195	-115.305	1	7.2	1.66	0.2329
900	5	7	2	CPX	HNZ	BC	--	32.4195	-115.305	1	7.2	1.71	0.1829
900	5	7	3	GUVIX	HNZ	BC	--	32.3029	-115.076	1	18.8	3.71	-0.1493
900	5	7	4	GUVIX	HHZ	BC	--	32.3029	-115.076	1	18.8	3.71	-0.1493
900	5	7	5	5054	HNZ	NP	10	32.6932	-115.3382	1	37.1	6.62	-0.1339
900	5	7	6	5053	HNZ	NP	10	32.6695	-115.4925	1	40.1	7.24	-0.2715
900	5	7	7	EMS	HNZ	CI	--	32.7392	-114.9852	1	49.0	8.11	0.2882
900	6	8	1	CPX	HHZ	BC	--	32.4195	-115.305	1	5.7	1.54	0.1721
900	6	8	2	CPX	HNZ	BC	--	32.4195	-115.305	1	5.7	1.59	0.1221
