eventid	version	event lat	event lon	depth	sta	chan	net	loc	lat	lon	date	tt	dist	ttok	dok	nttok	ndok	ttmin	ttmax	relo	nlat	nlon	ndep	ntime	nrms	nave	fitok	dmin	mdok	percent	pok
900	2	32.3116	-115.3476	8.0	5053	HNZ	NP	10	32.6695	-115.4925	2018-11-09T05:57:13.630	8.13	42.06	1	1	0	0	-4.74	10.93	1	32.3475	-115.2837	8.0	2018-11-09T05:57:06.26	0.0298	0.1412	1	8.25	1	80.0	1
900	5	32.3475	-115.2837	8.0	EMS	HNZ	CI	--	32.7392	-114.9852	2018-11-09T05:57:14.500	8.24	51.76	1	1	0	0	-3.53	13.46	1	32.3655	-115.2624	8.0	2018-11-09T05:57:06.39	0.0439	0.2012	1	7.21	1	71.4	1
900	6	32.3655	-115.2624	8.0	COA	HHZ	CI	--	32.8634	-115.1234	2018-11-09T05:57:15.708	9.32	56.87	1	1	0	0	-2.89	14.79	1	32.3835	-115.2624	8.0	2018-11-09T05:57:06.50	0.0499	0.1915	1	5.66	1	60.0	1
900	9	32.3835	-115.2624	8.0	DRE	HHZ	CI	--	32.8053	-115.4468	2018-11-09T05:57:15.558	9.06	49.98	1	1	0	0	-3.75	13.0	1	32.3835	-115.2411	8.0	2018-11-09T05:57:06.57	0.0572	0.206	1	7.21	1	70.0	1
900	9	32.3835	-115.2411	8.0	DRE	HNZ	CI	--	32.8053	-115.4468	2018-11-09T05:57:15.568	9.0	50.71	1	1	0	0	-3.66	13.18	1	32.3835	-115.2411	8.0	2018-11-09T05:57:06.60	0.0613	0.2117	1	7.21	1	70.0	1
900	10	32.3835	-115.2411	8.0	5058	HNZ	NP	10	32.7517	-115.5952	2018-11-09T05:57:15.690	9.09	52.7	1	1	0	0	-3.41	13.7	1	32.3835	-115.2411	8.0	2018-11-09T05:57:06.61	0.0565	0.199	1	7.21	1	80.0	1
900	14	32.3835	-115.2411	8.0	COA	HNZ	CI	--	32.8634	-115.1234	2018-11-09T05:57:15.778	9.17	54.49	1	1	0	0	-3.19	14.17	1	32.3835	-115.2411	8.0	2018-11-09T05:57:06.60	0.0527	0.1929	1	7.21	1	80.0	1
900	14	32.3835	-115.2411	8.0	SNR	HNZ	CI	--	32.8619	-115.436	2018-11-09T05:57:16.228	9.63	56.24	1	1	0	0	-2.97	14.62	1	32.3835	-115.2411	8.0	2018-11-09T05:57:06.60	0.049	0.1822	1	7.21	1	81.8	1
900	16	32.3835	-115.2411	8.0	SNR	HHZ	CI	--	32.8619	-115.436	2018-11-09T05:57:16.188	9.58	56.24	1	1	0	0	-2.97	14.62	1	32.3835	-115.2411	8.0	2018-11-09T05:57:06.61	0.0455	0.1704	1	7.21	1	81.8	1
900	21	32.3835	-115.2411	8.0	WES	HHZ	CI	--	32.759	-115.7316	2018-11-09T05:57:16.768	10.16	62.1	1	1	0	0	-2.24	16.15	1	32.3835	-115.2411	8.0	2018-11-09T05:57:06.58	0.0495	0.186	1	7.21	1	83.3	1
900	21	32.3835	-115.2411	8.0	WES	HNZ	CI	--	32.759	-115.7316	2018-11-09T05:57:16.938	10.36	62.1	1	1	0	0	-2.24	16.15	1	32.3835	-115.2411	8.0	2018-11-09T05:57:06.57	0.0476	0.1845	1	7.21	1	83.3	1
900	29	32.3835	-115.2411	8.0	UABX	HHZ	BC	--	32.6316	-115.4447	2018-11-09T05:57:12.780	6.21	33.55	1	1	0	0	-5.81	8.72	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	91.7	1
900	29	32.3835	-115.2411	8.0	YUH2	HHZ	CI	--	32.6475	-115.9223	2018-11-09T05:57:17.768	11.19	70.3	1	1	0	0	-1.21	18.28	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	70.6	1
900	29	32.3835	-115.2411	8.0	IMP	HNZ	CI	--	32.9015	-115.5607	2018-11-09T05:57:17.768	11.19	64.91	1	1	0	0	-1.89	16.88	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	76.5	1
900	29	32.3835	-115.2411	8.0	IMP	HHZ	CI	--	32.9015	-115.5607	2018-11-09T05:57:17.778	11.2	64.91	1	1	0	0	-1.89	16.88	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	76.5	1
900	30	32.3835	-115.2411	8.0	UABX	HNZ	BC	--	32.6316	-115.4447	2018-11-09T05:57:12.780	6.21	33.55	1	1	0	0	-5.81	8.72	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	76.5	1
900	36	32.3835	-115.2411	8.0	GLA	HHZ	CI	--	33.0515	-114.8271	2018-11-09T05:57:19.438	12.86	83.77	1	1	0	0	0.47	21.78	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	58.3	1
900	39	32.3835	-115.2411	8.0	WMD	HHZ	CI	--	33.0383	-115.5819	2018-11-09T05:57:19.138	12.56	79.49	1	1	0	0	-0.06	20.67	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	62.5	1
900	39	32.3835	-115.2411	8.0	IKP	HHZ	CI	--	32.6501	-116.1095	2018-11-09T05:57:20.538	13.96	86.65	1	1	0	0	0.83	22.53	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	64.0	1
900	43	32.3835	-115.2411	8.0	OCP	HNZ	CI	--	32.7475	-116.0193	2018-11-09T05:57:20.280	13.71	83.41	1	1	0	0	0.43	21.69	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	68.0	1
