eventid	version	sta	net	lat	lon	cluster	dist	tt	time	time check	active	trig	clu	ctrig
900	0	5054	NP	32.6932	-115.3382	-	42.44	7.1	2018-11-09T05:57:14	21.0	1	1	0	0
900	0	5053	NP	32.6695	-115.4925	-	42.06	7.0	2018-11-09T05:57:13	20.0	1	0	0	0
900	0	GUVIX	BC	32.3029	-115.076	-	25.54	4.3	2018-11-09T05:57:11	21.0	1	1	0	0
900	0	UABX	BC	32.6316	-115.4447	-	36.73	6.1	2018-11-09T05:57:07	16.0	1	0	0	0
900	0	CPX	BC	32.4195	-115.305	-	12.65	2.1	2018-11-09T05:57:11	24.0	1	1	0	0
900	2	5054	NP	32.6932	-115.3382	-	38.78	6.5	2018-11-09T05:57:14	21.0	1	1	0	0
900	2	5053	NP	32.6695	-115.4925	-	40.81	6.8	2018-11-09T05:57:14	21.0	1	1	0	0
900	2	GUVIX	BC	32.3029	-115.076	-	20.14	3.4	2018-11-09T05:57:12	23.0	1	1	0	0
900	2	UABX	BC	32.6316	-115.4447	-	35.01	5.8	2018-11-09T05:57:12	20.0	1	0	0	0
900	2	CPX	BC	32.4195	-115.305	-	8.25	1.4	2018-11-09T05:57:11	24.0	1	1	0	0
900	5	5272	NP	32.7081	-115.0926	-	41.29	6.9	2018-11-09T05:57:14	21.0	1	0	0	0
900	5	EMS	CI	32.7392	-114.9852	-	49.01	8.2	2018-11-09T05:57:15	20.0	1	1	0	0
900	5	5054	NP	32.6932	-115.3382	-	37.12	6.2	2018-11-09T05:57:15	22.0	1	1	0	0
900	5	5053	NP	32.6695	-115.4925	-	40.1	6.7	2018-11-09T05:57:14	21.0	1	1	0	0
900	5	GUVIX	BC	32.3029	-115.076	-	18.85	3.1	2018-11-09T05:57:12	23.0	1	1	0	0
900	5	UABX	BC	32.6316	-115.4447	-	34.17	5.7	2018-11-09T05:57:12	20.0	1	0	0	0
900	5	CPX	BC	32.4195	-115.305	-	7.21	1.2	2018-11-09T05:57:13	26.0	1	1	0	0
900	6	COA	CI	32.8634	-115.1234	-	54.93	9.2	2018-11-09T05:57:16	20.0	1	1	0	0
900	6	DRE	CI	32.8053	-115.4468	-	49.98	8.3	2018-11-09T05:57:16	21.0	1	0	0	0
900	6	5272	NP	32.7081	-115.0926	-	39.45	6.6	2018-11-09T05:57:15	22.0	1	0	0	0
900	6	EMS	CI	32.7392	-114.9852	-	47.32	7.9	2018-11-09T05:57:15	21.0	1	1	0	0
900	6	5054	NP	32.6932	-115.3382	-	35.16	5.9	2018-11-09T05:57:15	23.0	1	1	0	0
900	6	5053	NP	32.6695	-115.4925	-	38.43	6.4	2018-11-09T05:57:15	22.0	1	1	0	0
900	6	5058	NP	32.7517	-115.5952	-	51.47	8.6	2018-11-09T05:57:15	20.0	1	0	0	0
900	6	GUVIX	BC	32.3029	-115.076	-	19.67	3.3	2018-11-09T05:57:14	24.0	1	1	0	0
900	6	UABX	BC	32.6316	-115.4447	-	32.45	5.4	2018-11-09T05:57:14	22.0	1	0	0	0
900	6	CPX	BC	32.4195	-115.305	-	5.66	0.9	2018-11-09T05:57:13	26.0	1	1	0	0
900	9	COA	CI	32.8634	-115.1234	-	54.49	9.1	2018-11-09T05:57:16	20.0	1	1	0	0
900	9	DRE	CI	32.8053	-115.4468	-	50.71	8.5	2018-11-09T05:57:16	21.0	1	1	0	0
900	9	5272	NP	32.7081	-115.0926	-	38.68	6.4	2018-11-09T05:57:15	22.0	1	0	0	0
900	9	EMS	CI	32.7392	-114.9852	-	46.25	7.7	2018-11-09T05:57:16	22.0	1	1	0	0
900	9	5054	NP	32.6932	-115.3382	-	35.62	5.9	2018-11-09T05:57:16	23.0	1	1	0	0
900	9	5053	NP	32.6695	-115.4925	-	39.58	6.6	2018-11-09T05:57:15	22.0	1	1	0	0
900	9	5058	NP	32.7517	-115.5952	-	52.7	8.8	2018-11-09T05:57:15	20.0	1	0	0	0
900	9	GUVIX	BC	32.3029	-115.076	-	17.91	3.0	2018-11-09T05:57:14	24.0	1	1	0	0
900	9	UABX	BC	32.6316	-115.4447	-	33.55	5.6	2018-11-09T05:57:14	22.0	1	0	0	0
900	9	CPX	BC	32.4195	-115.305	-	7.21	1.2	2018-11-09T05:57:13	25.0	1	1	0	0
900	10	COA	CI	32.8634	-115.1234	-	54.49	9.1	2018-11-09T05:57:16	20.0	1	1	0	0
900	10	DRE	CI	32.8053	-115.4468	-	50.71	8.5	2018-11-09T05:57:16	21.0	1	1	0	0
900	10	5272	NP	32.7081	-115.0926	-	38.68	6.4	2018-11-09T05:57:15	22.0	1	0	0	0
900	10	EMS	CI	32.7392	-114.9852	-	46.25	7.7	2018-11-09T05:57:16	22.0	1	1	0	0
900	10	5054	NP	32.6932	-115.3382	-	35.62	5.9	2018-11-09T05:57:16	23.0	1	1	0	0
900	10	5053	NP	32.6695	-115.4925	-	39.58	6.6	2018-11-09T05:57:15	22.0	1	1	0	0
900	10	5058	NP	32.7517	-115.5952	-	52.7	8.8	2018-11-09T05:57:15	20.0	1	1	0	0
900	10	GUVIX	BC	32.3029	-115.076	-	17.91	3.0	2018-11-09T05:57:14	24.0	1	1	0	0
900	10	UABX	BC	32.6316	-115.4447	-	33.55	5.6	2018-11-09T05:57:14	22.0	1	0	0	0
900	10	CPX	BC	32.4195	-115.305	-	7.21	1.2	2018-11-09T05:57:13	25.0	1	1	0	0
900	14	COA	CI	32.8634	-115.1234	-	54.49	9.1	2018-11-09T05:57:17	21.0	1	1	0	0
900	14	DRE	CI	32.8053	-115.4468	-	50.71	8.5	2018-11-09T05:57:17	22.0	1	1	0	0
900	14	5272	NP	32.7081	-115.0926	-	38.68	6.4	2018-11-09T05:57:16	23.0	1	0	0	0
900	14	EMS	CI	32.7392	-114.9852	-	46.25	7.7	2018-11-09T05:57:16	22.0	1	1	0	0
900	14	5054	NP	32.6932	-115.3382	-	35.62	5.9	2018-11-09T05:57:16	23.0	1	1	0	0
900	14	5053	NP	32.6695	-115.4925	-	39.58	6.6	2018-11-09T05:57:16	23.0	1	1	0	0
900	14	5058	NP	32.7517	-115.5952	-	52.7	8.8	2018-11-09T05:57:16	21.0	1	1	0	0
900	14	GUVIX	BC	32.3029	-115.076	-	17.91	3.0	2018-11-09T05:57:14	24.0	1	1	0	0
900	14	UABX	BC	32.6316	-115.4447	-	33.55	5.6	2018-11-09T05:57:14	22.0	1	0	0	0
900	14	SNR	CI	32.8619	-115.436	-	56.24	9.4	2018-11-09T05:57:17	21.0	1	1	0	0
900	14	CPX	BC	32.4195	-115.305	-	7.21	1.2	2018-11-09T05:57:15	27.0	1	1	0	0
900	16	COA	CI	32.8634	-115.1234	-	54.49	9.1	2018-11-09T05:57:17	21.0	1	1	0	0
900	16	DRE	CI	32.8053	-115.4468	-	50.71	8.5	2018-11-09T05:57:17	22.0	1	1	0	0
900	16	5272	NP	32.7081	-115.0926	-	38.68	6.4	2018-11-09T05:57:16	23.0	1	0	0	0
900	16	EMS	CI	32.7392	-114.9852	-	46.25	7.7	2018-11-09T05:57:17	23.0	1	1	0	0
900	16	5054	NP	32.6932	-115.3382	-	35.62	5.9	2018-11-09T05:57:17	24.0	1	1	0	0
900	16	5053	NP	32.6695	-115.4925	-	39.58	6.6	2018-11-09T05:57:16	23.0	1	1	0	0
900	16	5058	NP	32.7517	-115.5952	-	52.7	8.8	2018-11-09T05:57:16	21.0	1	1	0	0
900	16	GUVIX	BC	32.3029	-115.076	-	17.91	3.0	2018-11-09T05:57:14	24.0	1	1	0	0
900	16	UABX	BC	32.6316	-115.4447	-	33.55	5.6	2018-11-09T05:57:14	22.0	1	0	0	0
900	16	SNR	CI	32.8619	-115.436	-	56.24	9.4	2018-11-09T05:57:17	21.0	1	1	0	0
900	16	CPX	BC	32.4195	-115.305	-	7.21	1.2	2018-11-09T05:57:15	27.0	1	1	0	0
900	21	WES	CI	32.759	-115.7316	-	62.1	10.3	2018-11-09T05:57:18	21.0	1	1	0	0
900	21	COA	CI	32.8634	-115.1234	-	54.49	9.1	2018-11-09T05:57:18	22.0	1	1	0	0
900	21	DRE	CI	32.8053	-115.4468	-	50.71	8.5	2018-11-09T05:57:18	23.0	1	1	0	0
900	21	5272	NP	32.7081	-115.0926	-	38.68	6.4	2018-11-09T05:57:17	24.0	1	0	0	0
900	21	EMS	CI	32.7392	-114.9852	-	46.25	7.7	2018-11-09T05:57:17	23.0	1	1	0	0
900	21	5054	NP	32.6932	-115.3382	-	35.62	5.9	2018-11-09T05:57:17	24.0	1	1	0	0
900	21	5053	NP	32.6695	-115.4925	-	39.58	6.6	2018-11-09T05:57:17	24.0	1	1	0	0
900	21	5058	NP	32.7517	-115.5952	-	52.7	8.8	2018-11-09T05:57:17	22.0	1	1	0	0
900	21	GUVIX	BC	32.3029	-115.076	-	17.91	3.0	2018-11-09T05:57:16	26.0	1	1	0	0
900	21	UABX	BC	32.6316	-115.4447	-	33.55	5.6	2018-11-09T05:57:14	22.0	1	0	0	0
900	21	SNR	CI	32.8619	-115.436	-	56.24	9.4	2018-11-09T05:57:18	22.0	1	1	0	0
900	21	CPX	BC	32.4195	-115.305	-	7.21	1.2	2018-11-09T05:57:16	28.0	1	1	0	0
900	29	COK2	CI	32.8505	-115.7284	-	69.13	11.5	2018-11-09T05:57:18	20.0	1	0	0	0
900	29	5056	NP	32.9598	-115.3202	-	64.51	10.8	2018-11-09T05:57:18	21.0	1	0	0	0
900	29	WES	CI	32.759	-115.7316	-	62.1	10.3	2018-11-09T05:57:19	22.0	1	1	0	0
900	29	IMP	CI	32.9015	-115.5607	-	64.91	10.8	2018-11-09T05:57:19	22.0	1	1	0	0
900	29	COA	CI	32.8634	-115.1234	-	54.49	9.1	2018-11-09T05:57:19	23.0	1	1	0	0
900	29	DRE	CI	32.8053	-115.4468	-	50.71	8.5	2018-11-09T05:57:19	24.0	1	1	0	0
900	29	5272	NP	32.7081	-115.0926	-	38.68	6.4	2018-11-09T05:57:18	25.0	1	0	0	0
900	29	EMS	CI	32.7392	-114.9852	-	46.25	7.7	2018-11-09T05:57:19	25.0	1	1	0	0
900	29	YUH2	CI	32.6475	-115.9223	-	70.3	11.7	2018-11-09T05:57:18	20.0	1	1	0	0
900	29	5054	NP	32.6932	-115.3382	-	35.62	5.9	2018-11-09T05:57:18	25.0	1	1	0	0
900	29	AGM	CI	32.8447	-114.7843	-	66.79	11.1	2018-11-09T05:57:19	21.0	1	0	0	0
900	29	5053	NP	32.6695	-115.4925	-	39.58	6.6	2018-11-09T05:57:18	25.0	1	1	0	0
900	29	5058	NP	32.7517	-115.5952	-	52.7	8.8	2018-11-09T05:57:18	23.0	1	1	0	0
900	29	GUVIX	BC	32.3029	-115.076	-	17.91	3.0	2018-11-09T05:57:17	27.0	1	1	0	0
900	29	UABX	BC	32.6316	-115.4447	-	33.55	5.6	2018-11-09T05:57:14	22.0	1	1	0	0
900	29	SNR	CI	32.8619	-115.436	-	56.24	9.4	2018-11-09T05:57:19	23.0	1	1	0	0
900	29	CPX	BC	32.4195	-115.305	-	7.21	1.2	2018-11-09T05:57:16	28.0	1	1	0	0
900	30	COK2	CI	32.8505	-115.7284	-	69.13	11.5	2018-11-09T05:57:18	20.0	1	0	0	0
900	30	5056	NP	32.9598	-115.3202	-	64.51	10.8	2018-11-09T05:57:18	21.0	1	0	0	0
900	30	WES	CI	32.759	-115.7316	-	62.1	10.3	2018-11-09T05:57:19	22.0	1	1	0	0
