eventid	version	event lat	event lon	time	mindist	maxdist	percent	near sta cnt	sta trig cnt	active	inactive	nsta
900	0	32.3116	-115.3476	2018-11-09T05:57:05.505	12.65	42.44	60.0	5	3	5	0	5
900	2	32.3475	-115.2837	2018-11-09T05:57:06.263	8.25	40.81	80.0	5	4	5	0	5
900	5	32.3655	-115.2624	2018-11-09T05:57:06.390	7.21	49.01	71.43	7	5	7	0	7
900	6	32.3835	-115.2624	2018-11-09T05:57:06.503	5.66	54.93	60.0	10	6	10	0	10
900	9	32.3835	-115.2411	2018-11-09T05:57:06.598	7.21	54.49	70.0	10	7	10	0	10
900	10	32.3835	-115.2411	2018-11-09T05:57:06.607	7.21	54.49	80.0	10	8	10	0	10
900	14	32.3835	-115.2411	2018-11-09T05:57:06.604	7.21	56.24	81.82	11	9	11	0	11
900	16	32.3835	-115.2411	2018-11-09T05:57:06.605	7.21	56.24	81.82	11	9	11	0	11
900	21	32.3835	-115.2411	2018-11-09T05:57:06.574	7.21	62.1	83.33	12	10	12	0	12
900	29	32.3835	-115.2411	2018-11-09T05:57:06.574	7.21	70.3	76.47	17	13	17	0	17
900	30	32.3835	-115.2411	2018-11-09T05:57:06.574	7.21	70.3	76.47	17	13	17	0	17
900	36	32.3835	-115.2411	2018-11-09T05:57:06.574	7.21	83.77	58.33	24	14	24	0	24
900	39	32.3835	-115.2411	2018-11-09T05:57:06.574	7.21	86.65	64.0	25	16	25	0	25
900	43	32.3835	-115.2411	2018-11-09T05:57:06.574	7.21	88.21	66.67	27	18	27	0	27
900	57	32.3835	-115.2411	2018-11-09T05:57:06.574	7.21	88.21	70.37	27	19	27	0	27
900	59	32.3835	-115.2411	2018-11-09T05:57:06.574	7.21	138.16	45.45	44	20	44	0	44
900	61	32.3835	-115.2411	2018-11-09T05:57:06.574	7.21	138.16	47.73	44	21	44	0	44
900	63	32.3835	-115.2411	2018-11-09T05:57:06.574	7.21	146.27	44.9	49	22	49	0	49
900	68	32.3835	-115.2411	2018-11-09T05:57:06.574	7.21	160.49	40.68	59	24	59	0	59
900	74	32.3835	-115.2411	2018-11-09T05:57:06.574	7.21	160.49	42.37	59	25	59	0	59
900	78	32.3835	-115.2411	2018-11-09T05:57:06.574	7.21	160.49	44.07	59	26	59	0	59
900	82	32.3835	-115.2411	2018-11-09T05:57:06.574	7.21	161.04	45.0	60	27	60	0	60
900	85	32.3835	-115.2411	2018-11-09T05:57:06.574	7.21	170.72	41.18	68	28	68	0	68
